City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
132,Nabire,ID,2021-10-09 20:44:03,-3.3667,135.4833,76.82,92,100,2.24
133,Kikwit,CD,2021-10-09 20:44:03,-5.041,18.8162,75.38,74,78,2.13
134,Lahij,YE,2021-10-09 20:44:03,13.1667,44.5833,81.9,67,96,1.48
135,Adolfo Lopez Mateos,MX,2021-10-09 20:44:04,28.4667,-107.3,79.93,23,0,12.28
136,Bantacan,PH,2021-10-09 20:44:04,7.604,126.1298,76.51,79,100,4.76
137,Alta Floresta,BR,2021-10-09 20:44:05,-9.8756,-56.0861,91.22,55,20,6.91
138,Margau,RO,2021-10-09 20:44:05,46.75,22.9667,37.15,77,38,3.85
139,Hithadhoo,MV,2021-10-09 20:41:45,-0.6,73.0833,82.78,70,100,9.57
140,Ha Tinh,VN,2021-10-09 20:44:05,18.3333,105.9,75.87,87,100,2.26
141,Viedma,AR,2021-10-09 20:40:28,-40.8135,-62.9967,78.3,22,0,12.1
142,Putina,PE,2021-10-09 20:44:06,-15.4667,-69.4333,54.46,61,96,13.91
143,Coahuayana,MX,2021-10-09 20:44:06,18.7333,-103.6833,87.69,69,100,4.52
144,Atlantic City,US,2021-10-09 20:44:07,39.3643,-74.4229,70.99,79,90,13.8
145,Faya,SA,2021-10-09 20:44:07,18.3851,42.4509,68.11,44,8,10.33
146,Lianran,CN,2021-10-09 20:44:08,24.9227,102.485,57.74,87,100,3.69
147,Nanyuki,KE,2021-10-09 20:44:08,0.0167,37.0728,59.63,86,57,9.04
148,Valparaiso,CL,2021-10-09 20:41:10,-33.0393,-71.6273,61.03,68,20,6.91
149,Palafrugell,ES,2021-10-09 20:44:08,41.9174,3.1631,65.71,53,22,1.01
150,Gamba,GA,2021-10-09 20:44:09,-2.65,10.0,76.96,89,100,8.14
151,Ulaanbaatar,MN,2021-10-09 20:44:09,47.9077,106.8832,17.73,86,0,0.0
152,Mar Del Plata,AR,2021-10-09 20:40:24,-38.0023,-57.5575,55.42,61,0,15.99
153,Yerbogachen,RU,2021-10-09 20:44:09,61.2767,108.0108,36.93,97,100,13.89
154,Brae,GB,2021-10-09 20:44:10,60.3964,-1.353,53.51,93,49,14.09
155,Semme,FR,2021-10-09 20:44:10,46.1963,1.5007,54.01,91,0,3.18
156,North Bay,CA,2021-10-09 20:39:21,46.3168,-79.4663,68.14,85,90,1.01
157,Georgetown,MY,2021-10-09 20:41:41,5.4112,100.3354,79.9,92,20,1.99
158,La Rioja,ES,2021-10-09 20:44:11,42.25,-2.5,51.04,91,11,4.12
159,Belyy Yar,RU,2021-10-09 20:44:11,53.6039,91.3903,44.49,61,0,8.95
160,Lardos,GR,2021-10-09 20:44:11,36.0942,28.0157,74.95,73,0,7.87
161,Domoni,KM,2021-10-09 20:44:12,-12.2569,44.5319,75.72,84,0,5.48
162,Port Hedland,AU,2021-10-09 20:44:12,-20.3167,118.5667,66.25,48,0,10.36
163,Isiro,CD,2021-10-09 20:44:13,2.7739,27.616,68.02,98,95,2.71
164,Butaritari,KI,2021-10-09 20:44:13,3.0707,172.7902,82.45,66,100,12.3
165,Takoradi,GH,2021-10-09 20:44:13,4.8845,-1.7554,77.65,90,100,9.19
166,Ambilobe,MG,2021-10-09 20:44:14,-13.2,49.05,71.46,70,13,6.35
167,Pemberton,CA,2021-10-09 20:43:08,50.3164,-122.8027,47.89,99,100,5.57
168,Xiaolan,CN,2021-10-09 20:44:14,22.6731,113.2295,78.75,99,96,13.73
169,Aqtobe,KZ,2021-10-09 20:44:15,50.2797,57.2072,30.29,69,0,0.0
170,Bredasdorp,ZA,2021-10-09 20:44:15,-34.5322,20.0403,49.28,85,0,2.08
171,Tiksi,RU,2021-10-09 20:44:16,71.6872,128.8694,16.14,89,75,3.44
172,Ribas Do Rio Pardo,BR,2021-10-09 20:44:16,-20.4431,-53.7592,78.35,77,100,4.81
173,Cidreira,BR,2021-10-09 20:44:16,-30.1811,-50.2056,63.75,86,100,19.42
174,Mastung,PK,2021-10-09 20:44:17,29.7994,66.845,59.07,23,0,5.91
175,Namatanai,PG,2021-10-09 20:42:24,-3.6667,152.4333,79.93,82,73,4.74
176,Beian,NO,2021-10-09 20:44:17,63.6559,9.5683,57.0,100,75,5.75
177,Husavik,IS,2021-10-09 20:44:18,66.0449,-17.3389,40.91,97,100,10.25
178,Tual,ID,2021-10-09 20:44:18,-5.6667,132.75,81.21,81,93,7.7
179,Bambous Virieux,MU,2021-10-09 20:41:43,-20.3428,57.7575,72.21,88,75,13.8
180,Saint-Pierre,RE,2021-10-09 20:41:33,-21.3393,55.4781,71.28,73,75,14.97
181,Kuah,MY,2021-10-09 20:44:18,6.3265,99.8432,84.18,84,20,5.75
182,Wenzhou,CN,2021-10-09 20:44:19,27.9994,120.6668,74.55,86,100,3.74
183,Andenes,NO,2021-10-09 20:44:19,69.3143,16.1194,48.18,87,90,5.75
184,Clyde River,CA,2021-10-09 20:44:19,70.4692,-68.5914,34.7,75,100,12.84
185,Hamilton,US,2021-10-09 20:40:00,39.1834,-84.5333,82.69,61,40,1.99
186,Namibe,AO,2021-10-09 20:42:18,-15.1961,12.1522,65.44,77,4,3.76
187,Akureyri,IS,2021-10-09 20:44:20,65.6835,-18.0878,40.93,93,90,6.91
188,At-Bashi,KG,2021-10-09 20:44:20,41.1702,75.8106,36.77,60,52,6.93
189,Gazli,UZ,2021-10-09 20:44:21,40.1333,63.45,47.05,42,5,9.57
190,Vila Velha,BR,2021-10-09 20:44:21,-20.3297,-40.2925,69.75,83,75,2.3
191,Cherskiy,RU,2021-10-09 20:44:21,68.75,161.3,9.28,96,99,5.23
192,Mayumba,GA,2021-10-09 20:44:22,-3.432,10.6554,77.09,91,97,8.72
193,Camaqua,BR,2021-10-09 20:44:22,-30.8511,-51.8122,62.51,82,100,10.94
194,Hervey Bay,AU,2021-10-09 20:44:23,-25.2986,152.8535,76.03,75,8,9.6
195,San Agustin,MX,2021-10-09 20:44:23,20.5333,-103.4667,84.51,54,100,2.21
196,Dudinka,RU,2021-10-09 20:43:51,69.4058,86.1778,22.39,87,94,14.25
197,Tabou,CI,2021-10-09 20:44:23,4.423,-7.3528,76.69,90,34,7.14
198,Cairns,AU,2021-10-09 20:44:24,-16.9167,145.7667,75.15,86,75,5.75
199,Zile,TR,2021-10-09 20:44:24,40.3031,35.8864,54.72,49,0,2.77
200,Biak,ID,2021-10-09 20:44:25,-0.9131,122.8766,75.36,79,89,4.79
201,Tashtyp,RU,2021-10-09 20:44:25,52.7939,89.8983,35.87,82,72,6.22
202,Manokwari,ID,2021-10-09 20:44:25,-0.8667,134.0833,79.3,77,26,2.06
203,Seoul,KR,2021-10-09 20:44:26,37.5683,126.9778,69.4,88,90,5.75
204,Calama,CL,2021-10-09 20:44:26,-22.4667,-68.9333,75.69,13,0,29.93
205,Leningradskiy,RU,2021-10-09 20:43:38,69.3833,178.4167,17.15,94,99,4.38
206,Curillo,CO,2021-10-09 20:44:27,1.0333,-75.9191,83.97,68,93,2.98
207,Kutum,SD,2021-10-09 20:44:27,14.2,24.6667,79.56,15,100,12.68
208,Maarianhamina,AX,2021-10-09 20:44:28,60.0973,19.9348,55.26,88,90,5.75
209,Mount Gambier,AU,2021-10-09 20:44:28,-37.8333,140.7667,39.11,93,68,5.75
210,Sao Filipe,CV,2021-10-09 20:41:46,14.8961,-24.4956,80.69,73,3,10.11
211,Isangel,VU,2021-10-09 20:44:29,-19.55,169.2667,75.31,73,30,5.75
212,Pangnirtung,CA,2021-10-09 20:44:29,66.1451,-65.7125,32.9,91,77,2.55
213,Ponta Do Sol,PT,2021-10-09 20:43:06,32.6667,-17.1,72.23,72,24,5.35
214,Sibolga,ID,2021-10-09 20:44:30,1.7427,98.7792,77.23,90,95,1.81
215,Hualmay,PE,2021-10-09 20:44:30,-11.0964,-77.6139,66.51,80,54,10.38
216,Tahoua,NE,2021-10-09 20:44:30,14.8888,5.2692,91.38,21,0,4.61
217,Praxedis Guerrero,MX,2021-10-09 20:44:31,31.3667,-106.0167,91.42,19,0,13.29
218,Road Town,VG,2021-10-09 20:39:49,18.4167,-64.6167,87.84,58,20,9.22
219,Belmonte,BR,2021-10-09 20:44:31,-15.8631,-38.8828,75.7,80,100,11.41
220,Mitsamiouli,KM,2021-10-09 20:44:32,-11.3847,43.2844,76.44,81,10,11.07
221,Camopi,GF,2021-10-09 20:44:32,3.1655,-52.3158,83.89,62,100,4.61
222,Colomi,BO,2021-10-09 20:44:32,-17.35,-65.8667,75.22,73,82,9.44
223,Saint George,US,2021-10-09 20:44:33,37.1041,-113.5841,71.94,36,1,1.99
224,Airai,TL,2021-10-09 20:43:12,-8.9266,125.4092,58.75,53,96,1.77
225,Shimoda,JP,2021-10-09 20:40:39,34.6667,138.95,67.1,88,72,11.74
226,Ixtapa,MX,2021-10-09 20:44:33,20.7,-105.2,90.23,75,100,1.99
227,Tabory,RU,2021-10-09 20:44:34,58.5198,64.5495,34.18,79,73,6.78
228,Unai,BR,2021-10-09 20:44:34,-16.3575,-46.9061,89.82,29,76,2.33
229,Am Timan,TD,2021-10-09 20:44:35,11.0297,20.2827,80.62,51,100,3.71
230,Vercelli,IT,2021-10-09 20:44:35,45.3231,8.4153,60.35,72,93,3.49
231,Dzilam Gonzalez,MX,2021-10-09 20:44:35,21.2833,-88.9333,87.58,62,69,8.93
232,Abu Kamal,SY,2021-10-09 20:44:36,34.4506,40.9171,77.41,17,0,4.56
233,Nong Chik,TH,2021-10-09 20:44:36,6.8436,101.178,80.2,89,93,8.7
234,Sao Luis De Montes Belos,BR,2021-10-09 20:44:36,-16.525,-50.3722,89.98,31,14,4.23
235,Shingu,JP,2021-10-09 20:42:10,33.7333,135.9833,71.38,90,36,6.62
236,Waingapu,ID,2021-10-09 20:44:37,-9.6567,120.2641,75.88,78,59,2.93
237,Aloleng,PH,2021-10-09 20:44:37,16.1307,119.7824,80.62,82,100,3.44
238,Jalu,LY,2021-10-09 20:44:38,29.0331,21.5482,78.21,27,0,9.78
239,Najran,SA,2021-10-09 20:44:38,17.4924,44.1277,79.45,37,8,4.83
240,Torbay,CA,2021-10-09 20:44:39,47.6666,-52.7314,45.57,88,75,26.46
241,Khatanga,RU,2021-10-09 20:42:39,71.9667,102.5,17.64,96,100,1.23
242,Bengkulu,ID,2021-10-09 20:44:39,-3.8004,102.2655,76.69,92,25,5.48
243,Hirtshals,DK,2021-10-09 20:44:39,57.5881,9.9592,47.86,88,100,10.67
244,Gejiu,CN,2021-10-09 20:44:40,23.306,103.1635,56.77,85,100,5.97
245,Poum,NC,2021-10-09 20:44:40,-20.2333,164.0167,72.91,67,16,12.48
246,Finschhafen,PG,2021-10-09 20:44:41,-6.6024,147.8681,78.31,86,100,8.43
247,Beroroha,MG,2021-10-09 20:44:41,-21.6667,45.1667,74.77,65,45,2.8
248,Severodvinsk,RU,2021-10-09 20:44:41,64.5635,39.8302,33.91,94,100,8.28
249,Ondangwa,NA,2021-10-09 20:44:42,-17.9167,15.95,82.26,15,0,9.22
250,Vicuna,CL,2021-10-09 20:44:42,-30.0319,-70.7081,68.77,46,0,8.75
251,Meadow Lake,US,2021-10-09 20:44:43,34.8014,-106.5436,81.66,27,13,18.61
252,Hambantota,LK,2021-10-09 20:44:43,6.1241,81.1185,80.22,82,100,16.91
253,Bujumbura,BI,2021-10-09 20:41:35,-3.3822,29.3644,76.14,64,70,4.63
254,Meulaboh,ID,2021-10-09 20:44:44,4.1363,96.1285,76.57,87,90,5.95
255,Saint-Augustin,CA,2021-10-09 20:42:25,51.226,-58.6502,47.23,50,10,5.28
256,Carnarvon,AU,2021-10-09 20:41:13,-24.8667,113.6333,60.87,63,0,13.8
257,Labuan,MY,2021-10-09 20:44:44,5.2767,115.2417,80.96,88,20,0.0
258,Kalmar,SE,2021-10-09 20:44:44,56.6616,16.3616,51.96,93,96,3.44
259,Northam,GB,2021-10-09 20:44:45,51.0333,-4.2167,59.4,93,100,4.32
260,Yulara,AU,2021-10-09 20:44:45,-25.2406,130.9889,60.64,72,100,16.11
261,Cururupu,BR,2021-10-09 20:44:45,-1.8283,-44.8683,79.2,78,80,4.36
262,Wanning,CN,2021-10-09 20:44:46,18.8003,110.3967,77.97,88,93,11.92
263,Tautira,PF,2021-10-09 20:44:46,-17.7333,-149.15,84.22,70,21,5.12
264,Qaanaaq,GL,2021-10-09 20:44:47,77.484,-69.3632,28.26,80,100,13.51
265,Beyneu,KZ,2021-10-09 20:44:47,45.3167,55.2,49.06,47,0,7.81
266,Tyukalinsk,RU,2021-10-09 20:44:47,55.8732,72.1967,39.78,79,99,6.87
267,Mwinilunga,ZM,2021-10-09 20:44:48,-11.7358,24.4293,74.66,31,46,2.66
268,Inuvik,CA,2021-10-09 20:44:48,68.3499,-133.7218,32.04,80,75,4.61
269,Severnyy,RU,2021-10-09 20:44:49,50.677,36.5532,37.44,60,0,6.71
270,Lorengau,PG,2021-10-09 20:44:49,-2.0226,147.2712,80.98,79,100,2.17
271,Jurm,AF,2021-10-09 20:44:49,36.8648,70.8342,41.88,50,62,3.85
272,Tura,IN,2021-10-09 20:44:50,25.5198,90.2201,73.38,86,2,2.21
273,Oum Hadjer,TD,2021-10-09 20:44:50,13.2954,19.6966,90.45,35,100,4.7
274,Olafsvik,IS,2021-10-09 20:43:10,64.8945,-23.7142,41.77,85,81,17.29
275,Mayya,RU,2021-10-09 20:44:50,61.7333,130.2811,34.92,94,80,5.93
276,Ajaccio,FR,2021-10-09 20:44:51,42.0,8.9167,57.69,55,90,3.44
277,Nemuro,JP,2021-10-09 20:44:51,43.3236,145.575,56.64,91,59,17.63
